"Town(s)","College(s)","Town Link(s)","College Link(s)"
"^","""36 Hours In Charlottesville""","https://en.wikipedia.org#cite_ref-51","https://travel.nytimes.com/2008/10/26/travel/26hours.html"
"^","""Area Profile""","https://en.wikipedia.org#cite_ref-ONS_map_search_14-0","https://www.ons.gov.uk/visualisations/customprofiles/draw/"
"^","""College Towns In India – Archisage""","https://en.wikipedia.org#cite_ref-3","https://web.archive.org/web/20090417014338/http://www.archisage.net/forum/topics/college-towns-in-india"
"March 10, 2020","""Colleges And Universities Cancel Classes And Move Online Amid Coronavirus Fears""","","https://www.nytimes.com/article/coronavirus-closings.html"
"^","""Huckabee'S Jonesboro Book Still Rankles""","https://en.wikipedia.org#cite_ref-36","https://www.latimes.com/archives/la-xpm-2008-jan-26-na-huckabee26-story.html"
"^","""Industry (Current) - 16 Categories""","https://en.wikipedia.org#cite_ref-28","https://build.nisra.gov.uk/en/custom/data?d=PEOPLE&v=SETTLEMENT15&v=INDUSTRY_AGG16&~SETTLEMENT15=N11000173"
"^","""Innovative University Sets The Flavour Of Indian Town""","https://en.wikipedia.org#cite_ref-2","https://www.thestar.com/life/travel/2008/08/02/innovative_university_sets_the_flavour_of_indian_town.html"
"^","""Is State College 'Real' Enough For Palin?""","https://en.wikipedia.org#cite_ref-47","https://web.archive.org/web/20081101083209/http://www.collegian.psu.edu/archive/2008/10/28/is_state_college_real_enough_f.aspx"
"^","""National Statistics Socio-Economic Classification (Ns-Sec) - 10 Groups, Collapsed By Census Settlement - Locality 2022""","https://en.wikipedia.org#cite_ref-30","https://www.scotlandscensus.gov.uk/webapi/opentable?id=01966a5b-f1dd-72c4-af82-c4e961a79e93"
"^","""Shell Of A Town""","https://en.wikipedia.org#cite_ref-41","https://web.archive.org/web/20120229032530/http://www.washingtoncitypaper.com/cover/2006/cover0929.html"
"^","""Start-Up Town""","https://en.wikipedia.org#cite_ref-37","https://web.archive.org/web/20081108235443/http://www.american.com/archive/2008/september-october-magazine/start-up-town/"
"^","""The University Town Of Leuven In Belgium""","https://en.wikipedia.org#cite_ref-5","http://www.gmanetwork.com/news/lifestyle/travel/498386/the-university-town-of-leuven-in-belgium/story/"
"Atchinson, Kansas","-Pending- Benedictine College School Of Osteopathic Medicine","","https://en.wikipedia.org/w/index.php?title=-Pending-_Benedictine_College_School_of_Osteopathic_Medicine&action=edit&redlink=1"
"1","1","",""
"10","10","",""
"100","100","",""
"101","101","",""
"102","102","",""
"103","103","",""
"104","104","",""
"105","105","",""
"106","106","",""
"107","107","",""
"108","108","",""
"109","109","",""
"11","11","",""
"Order of Preachers","11 Dominican","",""
"110","110","",""
"111","111","",""
"112","112","",""
"113","113","",""
"114","114","",""
"115","115","",""
"116","116","",""
"117","117","",""
"118","118","",""
"119","119","",""
"12","12","",""
"Society of Saint Edmund","12 Edmundite","",""
"120","120","",""
"121","121","",""
"123","123","",""
"124","124","",""
"125","125","",""
"126","126","",""
"127","127","",""
"128","128","",""
"129","129","",""
"13","13","",""
"Order of Friars Minor","13.1 First Order Of Saint Francis","",""
"Poor Clares","13.2 Second Order Of Saint Francis","",""
"130","130","",""
"131","131","",""
"132","132","",""
"133","133","",""
"134","134","",""
"135","135","",""
"136","136","",""
"137","137","",""
"138","138","",""
"139","139","",""
"14","14","",""
"140","140","",""
"141","141","",""
"142","142","",""
"143","143","",""
"15","15","",""
"Congregation of Holy Cross","15 Holy Cross","",""
"16","16","",""
"Society of Jesus","16 Jesuit","",""
"17","17","",""
"18","18","",""
"Order of Canons Regular of Prémontré","18 Norbertine","",""
"19","19","",""
"2","2","",""
"Augustinians of the Assumption","2 Assumptionists","",""
"20","20","",""
"21","21","",""
"22","22","",""
"23","23","",""
"24","24","",""
"Congregation of Divine Providence","24 Sisters Of Divine Providence","",""
"25","25","",""
"26","26","",""
"27","27","",""
"28","28","",""
"29","29","",""
"Montreal","29 Sisters Of Providence","",""
"3","3","",""
"Order of Saint Augustine","3 Augustinian","",""
"30","30","",""
"31","31","",""
"32","32","",""
"Ukrainian Catholic Church in the US","32 Sisters Of St. Basil The Great","",""
"33","33","",""
"34","34","",""
"35","35","",""
"36","36","",""
"Marianists","36 Society Of Mary","",""
"37","37","",""
"Congregation of the Holy Spirit","37 Spiritans","",""
"38","38","",""
"Sisters of Mount Saint Joseph","38 Ursuline","",""
"39","39","",""
"Congregation of the Mission","39 Vincentian","",""
"4","4","",""
"Congregation of St. Basil","4 Basilian","",""
"Public(all USG schools are public schools)","4-Year Institution Usg Average","",""
"40","40","",""
"41","41","",""
"42","42","",""
"43","43","",""
"44","44","",""
"45","45","",""
"46","46","",""
"47","47","",""
"48","48","",""
"49","49","",""
"5","5","",""
"Order of Saint Benedict","5 Benedictine","",""
"50","50","",""
"51","51","",""
"52","52","",""
"53","53","",""
"54","54","",""
"55","55","",""
"56","56","",""
"57","57","",""
"58","58","",""
"59","59","",""
"6","6","",""
"60","60","",""
"61","61","",""
"62","62","",""
"63","63","",""
"64","64","",""
"65","65","",""
"66","66","",""
"67","67","",""
"68","68","",""
"69","69","",""
"7","7","",""
"Congregation of Christian Brothers","7 Christian Brothers","",""
"70","70","",""
"71","71","",""
"72","72","",""
"73","73","",""
"74","74","",""
"75","75","",""
"76","76","",""
"77","77","",""
"78","78","",""
"79","79","",""
"8","8","",""
"80","80","",""
"81","81","",""
"82","82","",""
"83","83","",""
"84","84","",""
"85","85","",""
"86","86","",""
"87","87","",""
"88","88","",""
"89","89","",""
"9","9","",""
"Institute of the Brothers of the Christian Schools","9 De La Salle Christian Brothers / Lasallian","",""
"90","90","",""
"91","91","",""
"92","92","",""
"93","93","",""
"94","94","",""
"95","95","",""
"96","96","",""
"97","97","",""
"The American College Town","978-1-55849-671-2","https://archive.org/details/americancolleget0000gump","https://en.wikipedia.org/wiki/ISBN_(identifier)"
"98","98","",""
"99","99","",""
"Soar Higher"" . Retrieved June 5, 2025 .","^ ""Fontbonne University","",""
"G. Gabrielle Starr"" . Pomona College . Archived from the original on December 29, 2016 . Retrieved April 7, 2020 .","^ ""Pomona'S 10Th President","",""
"Kirksville","A. T. Still University","https://en.wikipedia.org/wiki/Kirksville,_Missouri","https://en.wikipedia.org/wiki/Truman_State_University"
"Phoenix","A.T. Still University","","https://en.wikipedia.org/wiki/A.T._Still_University"
"Albuquerque","Aaa Colleges","",""
"Association to Advance Collegiate Schools of Business","Aacsb","","https://en.wikipedia.org/wiki/Association_to_Advance_Collegiate_Schools_of_Business"
"American Academy for Liberal Education","Aale","",""
"American Association for Marriage and Family Therapy","Aamft","",""
"American Association of Nurse Anesthetists","Aana","",""
"Association of Advanced Rabbinical and Talmudic Schools","Aarts","",""
"American Bar Association","Aba","",""
"Accrediting agency","Abbreviation","",""
"Dundee","Abertay University","https://en.wikipedia.org/wiki/Dundee","https://en.wikipedia.org/wiki/University_of_Dundee"
"Accreditation Board for Engineering and Technology","Abet","","https://en.wikipedia.org/wiki/ABET"
"American Board of Funeral Service Education","Abfse","","https://en.wikipedia.org/w/index.php?title=American_Board_of_Funeral_Service_Education&action=edit&redlink=1"
"Association for Biblical Higher Education","Abhe","","https://en.wikipedia.org/wiki/Association_for_Biblical_Higher_Education"
"Accrediting Bureau of Health Education Schools","Abhes","",""
"Abilene","Abilene Christian University","https://en.wikipedia.org/wiki/Abilene,_Texas","https://en.wikipedia.org/wiki/Abilene_Christian_University"
"Public","Abraham Baldwin","","https://en.wikipedia.org/wiki/Abraham_Baldwin_Agricultural_College#Athletics,_music,_and_clubs"
"Tifton","Abraham Baldwin Agricultural College","","https://en.wikipedia.org/wiki/Abraham_Baldwin_Agricultural_College"
"Abu Dhabi","Abu Dhabi University","","https://en.wikipedia.org/wiki/Abu_Dhabi_University"
"Bloomington","Academy College","",""
"San Francisco","Academy Of Art University","","https://en.wikipedia.org/wiki/Academy_of_Art_University"
"Philadelphia","Academy Of Vocal Arts","","https://en.wikipedia.org/wiki/Academy_of_Vocal_Arts"
"Wolfville, Nova Scotia","Acadia University","https://en.wikipedia.org/wiki/Wolfville,_Nova_Scotia","https://en.wikipedia.org/wiki/Acadia_University"
"Accreditation Commission for Acupuncture and Herbal Medicine","Acahm","","https://en.wikipedia.org/wiki/Accreditation_Commission_for_Acupuncture_and_Herbal_Medicine"
"Accrediting Commission of Career Schools and Colleges","Accsc","",""
"Accreditation Commission for Education in Nursing","Acen","","https://en.wikipedia.org/wiki/Accreditation_Commission_for_Education_in_Nursing"
"Accreditation Council for Education in Nutrition and Dietetics","Acend","","https://en.wikipedia.org/wiki/Academy_of_Nutrition_and_Dietetics#Certifications"
"Kumarganj","Acharya Narendra Deva University Of Agriculture And Technology","https://en.wikipedia.org/wiki/Kumarganj,_Faizabad","https://en.wikipedia.org/wiki/Acharya_Narendra_Deva_University_of_Agriculture_and_Technology"
"Accrediting Council for Independent Colleges and Schools","Acics","",""
"Accreditation Commission for Midwifery Education","Acme","",""
"Accreditation Council for Pharmacy Education","Acpe","",""
"Arlington","Act College","",""
"American Dental Association","Ada","",""
"Alamosa","Adams State University","https://en.wikipedia.org/wiki/Alamosa,_Colorado","https://en.wikipedia.org/wiki/Adams_State_University"
"Garden City","Adelphi University","","https://en.wikipedia.org/wiki/Adelphi_University"
"Minnetonka","Adler Graduate School","","https://en.wikipedia.org/wiki/Adler_Graduate_School"
"Chicago","Adler University","","https://en.wikipedia.org/wiki/Adler_University"
"Adrian","Adrian College","https://en.wikipedia.org/wiki/Adrian,_Michigan","https://en.wikipedia.org/wiki/Adrian_College"
"Virginia Beach","Advanced Institute Of Technology","",""
"Managua , Matagalpa","Adventist University Of Nicaragua Universidad Adventista De Nicaragua","",""
"American Samoa Guam Northern Mariana Islands Puerto Rico U.S. Virgin Islands","Agencies By Insular Area","",""
"Alabama Alaska Arizona Arkansas California Colorado Connecticut Delaware Florida Georgia Hawaii Idaho Illinois Indiana Iowa Kansas Kentucky Louisiana Maine Maryland Massachusetts Michigan Minnesota Mississippi Missouri Montana Nebraska Nevada New Hampshire New Jersey New Mexico New York North Carolina North Dakota Ohio Oklahoma Oregon Pennsylvania Rhode Island South Carolina South Dakota Tennessee Texas Utah Vermont Virginia Washington West Virginia Wisconsin Wyoming","Agencies By State","",""
"District of Columbia Office of the State Superintendent of Education","Agency Of The Federal District","",""
"Private (Female)","Agnes Scott","","https://en.wikipedia.org/wiki/Agnes_Scott_College#Athletics"
"Private","Agnes Scott College","","https://en.wikipedia.org/wiki/Agnes_Scott_College"
"Manama","Ahlia University","https://en.wikipedia.org/wiki/Manama","https://en.wikipedia.org/wiki/University_of_Bahrain"
"Turkistan","Ahmet Yassawi University","https://en.wikipedia.org/wiki/Turkistan_(city)","https://en.wikipedia.org/wiki/Ahmet_Yassawi_University"
"Des Moines","Aib College Of Business","","https://en.wikipedia.org/wiki/AIB_College_of_Business"
"Aiken","Aiken Technical College","","https://en.wikipedia.org/wiki/Aiken_Technical_College"
"Greeley, Loveland, Fort Lupton, Windsor","Aims Community College","","https://en.wikipedia.org/wiki/Aims_Community_College"
"Wright-Patterson Air Force Base","Air Force Institute Of Technology","","https://en.wikipedia.org/wiki/Air_Force_Institute_of_Technology"
"Wright-Patterson AFB","Air Force Institute Of Technology Graduate School Of Engineering & Management","",""
"Montgomery","Air University","","https://en.wikipedia.org/wiki/Air_University_(United_States_Air_Force)"
"Pago Pago Int'l Fitiuta Ofu Closed Tau","Airports","","https://en.wikipedia.org/wiki/List_of_airports_in_American_Samoa"
"Aix-en-Provence","Aix-Marseille University","https://en.wikipedia.org/wiki/Aix-en-Provence","https://en.wikipedia.org/wiki/Aix-Marseille_University"
"Ajman","Ajman University","","https://en.wikipedia.org/wiki/Ajman_University"
"Hilo","Akamai University","",""
"King Richard School, Cyprus St. John's School, Cyprus","Akrotiri And Dhekelia","",""
"Ifrane","Al Akhawayn University","","https://en.wikipedia.org/wiki/Al_Akhawayn_University"
"Normal","Alabama A&M University","","https://en.wikipedia.org/wiki/Alabama_A%26M_University"
"Tuscaloosa","Alabama Central Female College","","https://en.wikipedia.org/wiki/Alabama_Central_Female_College"
"Dothan","Alabama College Of Osteopathic Medicine","","https://en.wikipedia.org/wiki/Alabama_College_of_Osteopathic_Medicine"
"Tuskegee","Alabama Conference Female College","","https://en.wikipedia.org/wiki/Alabama_Conference_Female_College"
"Tuscaloosa","Alabama Female Institute","","https://en.wikipedia.org/wiki/Alabama_Female_Institute"
"Montevallo","Alabama Girls’ Industrial School","","https://en.wikipedia.org/wiki/Alabama_Girls%E2%80%99_Industrial_School"
"Anniston","Alabama Presbyterian College","","https://en.wikipedia.org/wiki/Alabama_Presbyterian_College"
"Montgomery","Alabama State University","","https://en.wikipedia.org/wiki/Alabama_State_University"
"Iḷisaġvik College","Alaska","",""
"Palmer","Alaska Bible College","","https://en.wikipedia.org/wiki/Alaska_Bible_College"
"Anchorage","Alaska Pacific University","","https://en.wikipedia.org/wiki/Alaska_Pacific_University"
"Albany","Albany College","","https://en.wikipedia.org/wiki/Albany_College"
"T. Gregory Dewey, President","Albany College Of Pharmacy And Health Sciences","","https://en.wikipedia.org/wiki/Albany_College_of_Pharmacy_and_Health_Sciences"
"Albany","Albany Medical College","","https://en.wikipedia.org/wiki/Albany_Medical_College"
"Public","Albany State","","https://en.wikipedia.org/wiki/Albany_State_University#Athletics"
"Albany","Albany State University","https://en.wikipedia.org/wiki/Albany,_Georgia","https://en.wikipedia.org/wiki/Albany_State_University"
"Bronx","Albert Einstein College Of Medicine","","https://en.wikipedia.org/wiki/Albert_Einstein_College_of_Medicine"
"Albert Lea","Albert Lea College","",""
"Albert Lea","Albert Lea College For Women","",""
"University nn Blue Quills Maskwacis Cultural College Old Sun Community College Red Crow Community College Yellowhead Tribal College","Alberta","",""
"Calgary","Alberta University Of The Arts","","https://en.wikipedia.org/wiki/Alberta_University_of_the_Arts"
"New Haven, Connecticut","Albertus Magnus College","","https://en.wikipedia.org/wiki/Albertus_Magnus_College"
"Albion","Albion College","https://en.wikipedia.org/wiki/Albion,_Michigan","https://en.wikipedia.org/wiki/Albion_College"
"Albion","Albion State Normal School","","https://en.wikipedia.org/wiki/Albion_State_Normal_School"
"Reading city","Albright College","","https://en.wikipedia.org/wiki/Albright_College"
"Albuquerque (Main)","Albuquerque Bible College And Graduate Theological Institute","",""
"Albuquerque (Main)","Albuquerque Business College","",""
"Lorman","Alcorn State University","","https://en.wikipedia.org/wiki/Alcorn_State_University"
"Alderson","Alderson Academy","","https://en.wikipedia.org/wiki/Alderson_Academy"
"Philippi","Alderson Broaddus University","","https://en.wikipedia.org/wiki/Alderson_Broaddus_University"
"Alexandria","Alexandria Technical And Community College","","https://en.wikipedia.org/wiki/Alexandria_Technical_and_Community_College"
"Alfred","Alfred State College","https://en.wikipedia.org/wiki/Alfred_(village),_New_York","https://en.wikipedia.org/wiki/Alfred_University"
"Alfred","Alfred University","https://en.wikipedia.org/wiki/Alfred_(village),_New_York","https://en.wikipedia.org/wiki/Alfred_University"
"Sault Ste. Marie , Brampton","Algoma University","","https://en.wikipedia.org/wiki/Algoma_University"
"Algona","Algona College","","https://en.wikipedia.org/wiki/Algona_College"
"Aligarh","Aligarh Muslim University","https://en.wikipedia.org/wiki/Aligarh","https://en.wikipedia.org/wiki/Aligarh_Muslim_University"
"Vicksburg","All Saints' College","","https://en.wikipedia.org/wiki/All_Saints%27_College_(Vicksburg)"
"Tinicum township","All-State Career School","","https://en.wikipedia.org/w/index.php?title=All-State_Career_School&action=edit&redlink=1"
"Cumberland","Allegany College Of Maryland","https://en.wikipedia.org/wiki/Cumberland,_Maryland","https://en.wikipedia.org/wiki/Allegany_College_of_Maryland"
"Meadville","Allegheny College","https://en.wikipedia.org/wiki/Meadville,_Pennsylvania","https://en.wikipedia.org/wiki/Allegheny_College"
"Salem","Allegheny Wesleyan College","","https://en.wikipedia.org/wiki/Allegheny_Wesleyan_College"
"Waterloo","Allen College","","https://en.wikipedia.org/wiki/Allen_College"
"Columbia","Allen University","","https://en.wikipedia.org/wiki/Allen_University"
"San Diego","Alliant International University","","https://en.wikipedia.org/wiki/Alliant_International_University"
"Alma","Alma College","https://en.wikipedia.org/wiki/Alma,_Michigan","https://en.wikipedia.org/wiki/Alma_College"
"Salzburg","Alma Mater Europaea","https://en.wikipedia.org/wiki/Salzburg","https://en.wikipedia.org/wiki/University_of_Salzburg"
"Zarephath ( Franklin Twp. )","Alma White College","","https://en.wikipedia.org/wiki/Alma_White_College"
"Alpena","Alpena Community College","","https://en.wikipedia.org/wiki/Alpena_Community_College"
"-","Alphonsus College","",""
"Bensalem township","Altierus Career College","","https://en.wikipedia.org/wiki/Altierus_Career_College"
"Reading","Alvernia University","","https://en.wikipedia.org/wiki/Alvernia_University"
"Bernardine Sisters of St. Francis","Alvernia University ( Reading, Pennsylvania )","",""
"Milwaukee","Alverno College","","https://en.wikipedia.org/wiki/Alverno_College"
"School Sisters of St. Francis","Alverno College ( Milwaukee, Wisconsin )","",""
"Alvin (Brazoria County)","Alvin Community College","","https://en.wikipedia.org/wiki/Alvin_Community_College"
"Salmabad","Ama International University","https://en.wikipedia.org/wiki/Salmabad","https://en.wikipedia.org/wiki/AMA_International_University"
"Amarillo (Potter County) Hereford (Deaf Smith County) Dumas (Moore County)","Amarillo College","","https://en.wikipedia.org/wiki/Amarillo_College"
"Lattimore, North Carolina","Ambassador Baptist College","",""
"Garland","Amberton University","https://en.wikipedia.org/wiki/Garland,_Texas","https://en.wikipedia.org/wiki/Amberton_University"
"Calgary","Ambrose University","","https://en.wikipedia.org/wiki/Ambrose_University"
"Nashville, Tennessee","American Baptist College","","https://en.wikipedia.org/wiki/American_Baptist_College"
"Oklahoma City","American Christian College & Seminary","","https://en.wikipedia.org/w/index.php?title=American_Christian_College_%26_Seminary&action=edit&redlink=1"
"Managua","American College (Ac) Universidad American College","",""
"Falls Church","American College Of Commerce And Technology","",""
"Indianapolis","American College Of Education","","https://en.wikipedia.org/wiki/American_College_of_Education"
"Portland","American College Of Healthcare Sciences","","https://en.wikipedia.org/wiki/American_College_of_Healthcare_Sciences"
"Salem","American College Of History & Legal Studies","","https://en.wikipedia.org/wiki/American_College_of_History_%26_Legal_Studies"
"Thessaloniki","American College Of Thessaloniki","","https://en.wikipedia.org/wiki/American_College_of_Thessaloniki"
"Dublin","American College, Dublin","","https://en.wikipedia.org/wiki/American_College,_Dublin"
"Sterling","American Digital University","",""
"La Tour-de-Peilz","American Graduate School Of Business","",""
"Ontario","American Heritage University Of Southern California","","https://en.wikipedia.org/wiki/American_Heritage_University_of_Southern_California"
"Columbus","American Institute Of Alternative Medicine","","https://en.wikipedia.org/w/index.php?title=American_Institute_of_Alternative_Medicine&action=edit&redlink=1"
"Schaumburg","American Intercontinental University","","https://en.wikipedia.org/wiki/American_InterContinental_University"
"Springfield","American International College","","https://en.wikipedia.org/wiki/American_International_College"
"Chicago","American Islamic College","","https://en.wikipedia.org/wiki/American_Islamic_College"
"Los Angeles","American Jewish University","","https://en.wikipedia.org/wiki/American_Jewish_University"
"California","American Management University","",""
"Battle Creek","American Medical Missionary College","","https://en.wikipedia.org/wiki/American_Medical_Missionary_College"
"Danville","American National University","https://en.wikipedia.org/wiki/Danville,_Kentucky","https://en.wikipedia.org/wiki/Centre_College"
"Manassas","American Public University System","","https://en.wikipedia.org/wiki/American_Public_University_System"
"Sylvia Mathews Burwell , President","American University","","https://en.wikipedia.org/wiki/American_University"
"Blagoevgrad","American University In Bulgaria","https://en.wikipedia.org/wiki/Blagoevgrad","https://en.wikipedia.org/wiki/American_University_in_Bulgaria"
"Cairo","American University In Cairo","","https://en.wikipedia.org/wiki/American_University_in_Cairo"
"Dubai","American University In Dubai","","https://en.wikipedia.org/wiki/American_University_in_Dubai"
"Pristina","American University In Kosovo","","https://en.wikipedia.org/wiki/American_University_in_Kosovo"
"St. John's","American University Of Antigua","","https://en.wikipedia.org/wiki/American_University_of_Antigua"
"Yerevan","American University Of Armenia","","https://en.wikipedia.org/wiki/American_University_of_Armenia"
"Riffa","American University Of Bahrain","https://en.wikipedia.org/wiki/Riffa","https://en.wikipedia.org/wiki/American_University_of_Bahrain"
"Bridgetown","American University Of Barbados","","https://en.wikipedia.org/wiki/American_University_of_Barbados"
"Beirut","American University Of Beirut","","https://en.wikipedia.org/wiki/American_University_of_Beirut"
"Bishkek","American University Of Central Asia","","https://en.wikipedia.org/wiki/American_University_of_Central_Asia"
